id,name,created_at,updated_at,availability,category_id,ancestry
33,surimi,2017-12-13 17:37:20.376238,2019-01-29 10:37:10.627212,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
32,boite de crabe,2017-12-13 17:35:56.085148,2019-01-29 10:37:10.864961,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
23,curry,2017-12-13 17:26:08.762302,2019-01-29 10:37:11.078531,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
22,ananas,2017-12-13 17:25:14.698276,2019-01-29 10:37:11.182533,"01, 02, 03, 04, 10, 11, 12",11,
19,poisson blanc,2017-12-13 17:24:03.526682,2019-01-29 10:37:11.315827,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
18,crevette,2017-12-13 17:23:34.325818,2019-01-29 10:37:11.482445,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
9,citron,2017-12-13 17:08:05.39187,2019-01-29 10:37:11.60693,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",11,
8,persil,2017-12-13 17:07:48.830435,2019-01-29 10:37:11.726798,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
37,riz rond,2017-12-13 17:40:38.001671,2019-01-29 10:37:11.822624,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,21
15,tomate cerise,2017-12-13 17:18:25.479549,2019-01-29 10:37:11.901735,"05, 06, 07, 08, 09",14,5
50,tomate confite,2017-12-14 15:41:25.953879,2019-01-29 10:37:12.028125,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,5
13,carpaccio de boeuf,2017-12-13 17:16:09.523893,2019-01-29 10:37:12.133915,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
55,faux-filet,2017-12-14 15:44:42.112538,2019-01-29 10:37:12.250681,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
2,steak haché,2017-12-13 16:26:41.302203,2019-01-29 10:37:12.345542,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
72,roti de dinde,2017-12-14 16:14:24.422431,2019-01-29 10:37:12.44175,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,511
70,pain de mie complet,2017-12-14 16:13:33.713976,2019-01-29 10:37:12.564737,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",16,84
